N: 100

P: 15

DIST: [
0 7340 840 296 9379 9857 1036 8331 7649 5805 4985 3313 2461 4550 5903 4431 294 7082 4275 6378 2169 1348 1432 3676 7431 1992 6873 2314 6417 4972 1818 4603 2845 6720 5686 8694 1106 3022 7822 2388 4068 2549 8516 3816 2579 6691 8716 5310 1059 2303 5901 464 7445 7561 7411 1575 5288 1296 2236 9129 1992 3806 4774 9554 7708 910 4508 6717 4918 2864 6335 4079 9278 2994 9319 5649 7355 3322 787 9386 2741 7926 864 8725 9311 2602 3581 5958 7009 9205 1246 8105 7181 7539 3139 9179 5124 2064 7458 3687 
5781 0 5920 9995 5540 1487 1312 2336 9184 9635 991 6238 3520 3325 1107 992 5745 8265 1759 7498 8330 5700 8278 8526 5144 8716 731 7379 1211 7769 675 696 1132 5902 6145 2477 5147 6624 560 8594 1864 5000 2100 4541 1242 9573 124 219 9320 7006 8351 3529 2829 5586 6724 2595 36 7859 453 6837 5099 2874 1804 8773 7922 8227 9046 8607 8016 9645 226 6126 9282 7726 5408 6510 2208 5511 3107 4679 5059 7990 1789 3947 7593 9567 8346 6774 7846 7762 2518 1509 2128 3729 7 1393 5500 6570 8480 8100 
2989 1052 0 6052 9127 8531 5151 693 6927 8449 2878 5271 4091 9437 6407 7152 3405 107 2949 4925 5016 5747 8812 9840 1208 272 7581 8795 5567 1339 7846 5224 717 6678 5889 9855 4811 6258 2131 9145 516 5230 8268 739 4071 4317 7221 8204 6156 9810 4824 3570 3289 7567 704 6706 4251 504 7510 8884 195 7506 2971 8724 2136 4233 6571 5520 4411 1494 6242 404 9978 3554 9526 2371 692 9965 3243 9333 2630 2051 1904 3771 1184 6090 291 9650 2556 7944 5892 3139 1405 2095 5595 9016 6396 2902 2371 607 
4357 3142 5534 0 6355 2387 4818 4948 9707 7532 5382 4591 1143 3032 721 7217 2194 956 588 6174 1028 162 705 539 2681 364 508 7725 7880 7002 8019 1959 5811 4503 6167 1276 682 7124 7766 77 9440 197 2065 252 677 8039 8786 2875 6333 1636 595 1298 14 9760 3062 2260 2244 8157 6981 7129 8302 3190 8293 4941 1934 1016 1435 9107 489 5973 2002 480 2683 902 2175 6270 886 6672 1770 9733 59 4918 992 258 1260 6086 1329 8055 9152 5517 3511 4871 4807 8363 9222 2763 3312 6859 3376 908 
1367 3488 2995 4382 0 4170 4459 1222 1262 7031 114 3586 4073 4283 3659 7825 9040 5433 602 3195 3644 9349 4779 3572 9249 4380 6425 359 4146 8308 4635 2988 110 7920 2398 5330 3889 2759 6969 2462 4207 8771 4755 9612 1098 7982 3875 8674 67 6308 4604 9823 5640 419 9369 8260 6600 8670 9188 4849 2004 1074 6182 5312 6468 976 2585 5568 9875 4652 3971 4575 9462 7272 6451 5301 2625 8890 2461 2844 9251 8501 9100 7748 3001 2506 1864 7511 3276 7115 5228 7037 9995 8581 4454 9437 3289 3088 9642 8056 
2998 3990 8971 7351 5673 0 7982 4027 6465 2467 2829 3343 6760 6611 2874 9421 6831 8563 267 3025 8209 6148 7388 9991 5894 657 5008 5544 837 5132 8525 9758 8436 4558 7911 3786 8053 9961 9079 6098 5962 4602 3000 1584 5296 9953 2465 8603 2149 6418 3188 4158 4442 3511 8570 3241 5032 1969 9090 8333 4266 8062 6636 323 1113 1064 7913 8584 7493 4114 4659 8196 1122 7166 7863 5143 1515 3583 9919 5389 4945 6257 485 3522 3767 7851 9506 7985 1766 627 3352 5961 8808 7728 3493 651 1485 9428 1436 5470 
7614 2840 7944 5580 1918 4341 0 913 3869 400 5896 832 5431 3811 7415 476 3717 2644 5505 1418 1229 6686 7338 4151 5393 9794 5301 5882 5872 49 6257 1654 661 8945 7057 7838 7867 3005 6089 9846 5136 9800 3450 9337 2116 2119 1118 5507 811 6366 9102 4065 1614 4767 8909 4884 6001 6074 8056 908 7331 2521 6163 7502 5060 6187 7274 4528 5787 8805 7984 6989 8700 811 4003 7017 3642 4341 6114 126 2211 2148 9101 1981 6563 113 9969 2739 2290 617 236 544 390 3481 5131 5510 7272 2390 1036 8952 
354 3140 7759 4384 9063 3275 6689 0 5624 4622 1721 3905 3572 1362 670 8004 4012 7756 5631 8444 6494 4218 8163 3807 9373 6290 7383 2462 6393 3568 1805 7774 4841 726 7379 9141 1200 5013 5446 9794 8959 5695 9280 2368 260 3291 8468 4573 1615 9873 8979 7827 7035 1750 5886 7638 2002 9967 9997 255 5268 5040 2613 7584 6850 2010 8232 1607 3342 2249 2211 5500 1096 7366 8368 3737 6811 7331 4831 1572 8851 9728 1221 6894 8467 1235 9506 4129 1396 6064 4017 9712 9487 9677 893 122 3692 6988 9087 1869 
2696 7183 5990 6036 5149 990 4834 3424 0 1174 1701 2394 6616 967 7572 4668 2050 6380 3046 2882 7367 7028 5335 1046 2557 6564 2746 3984 1252 9731 301 3414 1625 6355 1385 3612 4120 1324 7532 6192 1859 8744 302 756 9942 7624 6597 8501 919 3870 6512 4333 5441 3560 1626 7377 1375 424 8008 3358 2693 399 8725 5836 1571 4232 9364 2373 5934 5430 3824 2010 8983 838 1631 6141 1022 9946 2443 3517 1204 5369 3537 2121 7786 6436 9595 2735 5748 2469 5047 5744 8929 3251 7638 1401 6065 1400 1152 8325 
9963 9447 5573 1810 9990 6712 3327 5664 3940 0 6764 4863 6788 3052 2408 2792 2377 7251 7546 9089 7107 4707 5609 5897 9120 3280 2381 8068 8653 1447 1298 4742 4220 8087 55 9111 7981 8976 8773 9484 936 2416 7201 6726 7447 7568 7797 3478 1342 2618 2461 5763 2547 8885 1761 6361 238 1389 3230 4870 7679 6242 54 3702 3734 8091 1912 6118 9017 9477 9068 6380 6352 8917 2034 3073 8871 4767 9740 7732 5320 8347 2318 1115 6989 9015 2268 2149 6422 19 1296 5745 2124 5642 3884 8561 69 4452 7444 627 
4470 878 2998 8088 3774 494 2589 6546 3403 4198 0 7001 1316 8239 2310 448 8844 8947 6712 1133 1054 4089 3466 1464 5572 4755 7600 3019 4878 7748 3157 1003 8631 3211 7386 1192 2528 2380 8938 3738 566 1176 3763 844 9823 9613 3586 2385 718 4579 2341 6505 3932 692 7476 2492 9396 2230 252 2254 9545 3875 3653 4920 8084 3290 5270 4338 8430 6534 1239 454 6010 8881 3440 929 4673 3316 7155 3203 1704 8156 5608 9425 4788 3853 2605 2847 2491 7662 6130 5772 9820 2214 1479 6387 1390 6461 7247 6001 
1528 2796 5477 8191 2062 2010 9738 6526 3565 6662 5517 0 4397 6273 120 7876 9213 7680 9399 6139 9587 9887 5508 3766 7387 163 9601 4897 2761 3610 7316 602 6565 5361 8108 349 5875 671 8559 2276 477 1515 5881 622 9514 5699 1842 510 2689 1144 5485 331 2447 928 9453 7344 6956 5831 7329 5548 1177 3083 5920 5272 9094 2734 2807 6072 8685 341 451 7208 4685 5694 2492 6630 5349 6054 6984 5535 9656 5549 5734 8552 3922 7674 3837 6846 5903 4255 9635 6010 2546 5871 3851 8299 9644 852 1223 601 
